,Beta,Gamma,Delta,OBS_i,OBS_itotal,OBS_d,OBS_r
2021-12-26,0.06227945830904219,0.0009597047113924824,0.0554652754391863,0.027847311178247736,0.1608501091929219,0.002532255934397928,0.13047054208027623
2022-01-02,0.08799789840212136,0.0008783869700775096,0.050513592285579126,0.03394699179974105,0.1685585865343116,0.0025595943029779887,0.13205200043159257
2022-01-09,0.10103068488226437,0.0008157956580791392,0.0488061532287955,0.04541176780319378,0.18196202114803625,0.002592460077686664,0.13395779326715582
2022-01-16,0.09431379464766654,0.0007629300791329918,0.05119981432483274,0.0599257324126025,0.1990080090634441,0.0026358748381527836,0.13644640181268883
2022-01-23,0.07305850418877624,0.0007252443195813113,0.05712981135668925,0.07237310746655158,0.21479867155804921,0.0026839870522227015,0.13974157703927492
2022-01-30,0.04776646794250177,0.0006910303361065436,0.0659674111206786,0.08010022356495469,0.22712813379369876,0.0027399175658178684,0.1442879926629262
2022-02-06,0.027332201313160328,0.0006479870712487024,0.07767490134643121,0.08245600517911092,0.23470477988778593,0.0027969050496331463,0.14945186965904186
2022-02-13,0.014716698152074026,0.000595046096393224,0.08997399846350188,0.08044071773845489,0.23905659085023737,0.0028505684074233923,0.15576530470435906
2022-02-20,0.00826939852652286,0.0005368130368166193,0.09973422886466496,0.07592281614156236,0.24164744151920586,0.0028973582218385844,0.16282726715580492
2022-02-27,0.005316400010957756,0.00047706647998024967,0.10344389381815174,0.07009741562365127,0.2433030794130341,0.0029365135951661633,0.17026915019421665
2022-03-06,0.004004718196485925,0.0004198134116727554,0.09965437450222527,0.06397462149331032,0.2444075183426845,0.0029688157099697883,0.1774640811394044
2022-03-13,0.003443192728081023,0.0003642167955190661,0.09145848878642537,0.05843648554164869,0.24520330858869227,0.0029942481657315493,0.18377257488131202
2022-03-20,0.00322874149786197,0.0003067279408240736,0.08443506044485576,0.05413502719033232,0.24585290850237376,0.003015507121277514,0.1887023741907639
2022-03-27,0.0031360966962856998,0.00025147827456163603,0.0798200808312383,0.0504774501510574,0.24646345705653863,0.003031116529995684,0.19295489037548555
2022-04-03,0.0030903892660602344,0.0002205033291187719,0.07733803052459225,0.0469955036685369,0.24705823305999136,0.003043637893828226,0.19701909149762623
2022-04-10,,,,0.0453907250755287,0.24735508157099698,0.003048108761329305,0.19891624773413896
